exercise_id,exercise_name,exercise_body_part_focus,exercise_movement_pattern,exercise_intensity_type,exercise_frequency
1,High-to-Low Woodchopper,Core,Rotation,Endurance,5
2,Plank Jack to Sit Back,Core,Push/Squat (Stability),Endurance,4
3,Goblet Complex,Full Body,Squat/Push/Pull,Endurance,2
4,Alternating Renegade Row,Full Body,Pull/Push (Stability),Strength,5
5,Plate Snatch to Lunge,Full Body,Pull/Squat (Explosive),Power,9
6,Plate Overhead Alternating Squat Tap,Full Body,Squat/Push (Stability),Strength,3
7,Rebound Box Jump,Lower Body,Squat (Explosive),Power,2
8,Forward Bound & Run Back,Lower Body,Squat (Explosive),Power,4
9,Monster Walk,Lower Body,Squat (Stability),Endurance,3
10,Tempo Squat,Lower Body,Squat,Strength,1
11,Romanian Deadlift,Lower Body,Hinge,Strength,2
12,Lateral Banded KB Front Rack Squat Walk,Lower Body,Squat,Strength,1
13,Resistance Band Sprint,Lower Body,Squat (Explosive),Power,5
14,Tempo Front Squat,Lower Body,Squat,Strength,1
15,Squat Jump,Lower Body,Squat,Power,3
16,Stability Ball Tuck,Core,Push (Stability),Endurance,6
17,Standing Chainsaw Row,Upper Body,Pull,Strength,4
18,Close Grip Lat Pull Down,Upper Body,Pull,Strength,2
19,Step Up to OH Press & Knee Drive,Full Body,Push / Squat,Strength,4
20,Gatekeeper Ball Slam,Full Body,Rotation / Push,Power,1
21,explosive leg press,Lower Body,Push,Power,1
22,1.5 rep leg press,Lower Body,Push,Hypertrophy,3
23,tempo hip thrust,Lower Body,Hinge,Strength,5
24,single arm double kb swing,Full Body,Hinge,Power,5
25,stiff leg deadlift with extension,Lower Body,Hinge,Strength,1
26,step up squat,Lower Body,Squat / Step,Strength,5
27,weighted box step up transfer,Lower Body,Step,Power,5
28,calf raises on leg press,Lower Body,Push,Strength,7
29,Alternating Reverse Lunge,lower body,squat,strength,4
30,Half Kneeling Ball Slam,core/upper body,rotation/push,power,5
31,Single Arm Rotational Row,core/upper body,rotation/pull,strength,5
32,Assisted Transfer Push Up,upper body/core,push,strength,2
33,Explosive Squat,lower body,squat,power,4
34,Seated Pull-Up,upper body,pull,strength,7
35,Half Kneeling Alternating Kettlebell Press,core/upper body,push,strength,7
36,Pendulum Clean,full body,pull/squat,power,6
